scenario,risk_id,asset,threat,weakness,confidentiality,integrity,availability,likelihood,existing_safeguard,treatment,mapped_outcome,owner,evidence,residual_likelihood,residual_impact
Retail SME,R-01,Point-of-sale terminal,Malware disrupts transactions,Delayed patching and local administrator access,4,5,5,4,Antivirus and daily backup,Apply managed patching and remove routine admin rights,NIST PR.PS / PR.AA,Operations Manager,Monthly patch report and access review,2,4
Retail SME,R-02,Cloud accounting account,Credential theft exposes financial records,Password-only authentication,5,5,4,4,Strong-password guidance,Enable phishing-resistant MFA and quarterly access review,NIST PR.AA / GV.PO,Finance Manager,MFA configuration and access-review record,2,4
Retail SME,R-03,Shared employee email,Phishing leads to unauthorised access,Shared credentials and limited awareness,4,4,3,4,Spam filter,Create named accounts and conduct targeted awareness exercise,NIST PR.AT / PR.AA,Business Owner,Account list and exercise record,2,3
Professional Services,P-01,Client document repository,Unauthorised disclosure of client files,Overly broad sharing permissions,5,5,3,4,Cloud-provider logging,Apply least privilege and quarterly permission review,NIST PR.AA / DE.CM,Practice Manager,Permission-review export,2,4
Professional Services,P-02,Remote access service,Compromised account enables remote intrusion,No MFA and inactive accounts remain enabled,5,5,5,5,VPN encryption,Enforce MFA and disable inactive accounts within 24 hours,NIST PR.AA / GV.RR,IT Administrator,MFA report and offboarding log,2,4
Professional Services,P-03,Employee laptops,Ransomware encrypts project work,Unverified backups and macros allowed,4,5,5,4,Endpoint antivirus,Test backups and restrict untrusted macros,NIST PR.DS / RC.RP,Department Heads,Restore-test evidence and endpoint policy,2,4
Online Services,O-01,Public website,Application attack changes content or causes outage,Insufficient secure testing,3,5,5,4,Basic web firewall,Add secure testing and monitored deployment approval,NIST PR.PS / DE.CM,Product Manager,Test report and deployment log,2,4
Online Services,O-02,Cloud customer database,Data breach exposes customer records,Public exposure from configuration error,5,5,5,5,Provider encryption,Implement configuration baseline and continuous exposure alerts,NIST PR.DS / DE.CM,Data Owner,Baseline scan and alert evidence,2,5
Online Services,O-03,Administrator accounts,Privilege misuse changes production systems,Excessive standing privilege,5,5,5,4,Password manager,Use separate admin accounts and just-in-time privilege,NIST PR.AA / GV.RR,Technical Lead,Privileged-access report,2,4
Online Services,O-04,Cloud service dependency,Provider outage interrupts customer access,No tested continuity procedure,2,3,5,3,Provider availability commitment,Document failover and customer communication procedure,NIST RC.RP / RS.CO,Product Manager,Tabletop exercise record,2,3
Retail SME,R-04,Cloud backup,Ransomware deletes connected backups,Backup account shares production credentials,4,5,5,3,Daily backup schedule,Separate backup identity and enable immutable retention,NIST PR.DS / RC.RP,Business Owner,Restore test and retention setting,2,4
Professional Services,P-04,Client email communication,Invoice fraud changes payment instructions,No secondary verification for bank changes,4,5,3,4,Email filtering,Require out-of-band verification for payment changes,NIST PR.AT / GV.PO,Practice Manager,Verification procedure and sample log,2,4
